Filename,start_date,end_date,mid_date,POINT_1_VELOCITY,POINT_2_VELOCITY,POINT_3_VELOCITY,POINT_4_VELOCITY,POINT_5_VELOCITY,POINT_6_VELOCITY,POINT_7_VELOCITY
2018-09-22_2018-09-28_S1B_S1A.tif,2018-09-22,2018-09-28,2018/09/25,8899.0,6756.0,5089.0,3391.0,2921.0,2112.0,820.0
2022-05-26_2022-06-07_S1A_S1A_T2.tif,2022-05-26,2022-06-07,2022/06/01,,,,,,,
2021-02-24_2021-03-08_S1A_S1A.tif,2021-02-24,2021-03-08,2021/03/02,,,,3987.0,3129.0,1783.0,
2020-05-21_2020-06-02_S1B_S1B_T2.tif,2020-05-21,2020-06-02,2020/05/27,,,,,,1460.0,784.0
2018-05-14_2018-05-26_S1A_S1A.tif,2018-05-14,2018-05-26,2018/05/20,7055.0,,,,2772.0,1512.0,788.0
2021-05-16_2021-05-28_S1B_S1B.tif,2021-05-16,2021-05-28,2021/05/22,,,,,,,
2021-09-04_2021-09-16_S1A_S1A_T2.tif,2021-09-04,2021-09-16,2021/09/10,,,,,,,
2020-04-12_2020-04-24_S1B_S1B_T2.tif,2020-04-12,2020-04-24,2020/04/18,,,,,,,
2018-08-29_2018-09-10_S1B_S1B.tif,2018-08-29,2018-09-10,2018/09/04,9393.0,,4989.0,,2936.0,,756.0
2019-04-24_2019-05-06_S1A_S1A.tif,2019-04-24,2019-05-06,2019/04/30,,,,,,1710.0,
2022-06-22_2022-07-04_S1A_S1A.tif,2022-06-22,2022-07-04,2022/06/28,,,,3791.0,3320.0,1701.0,866.0
2019-05-09_2019-05-21_S1A_S1A.tif,2019-05-09,2019-05-21,2019/05/15,7756.0,,,,,1509.0,
2019-08-19_2019-08-31_S1B_S1B_T2.tif,2019-08-19,2019-08-31,2019/08/25,,,5318.0,,3007.0,1584.0,816.0
2020-09-24_2020-10-06_S1A_S1A.tif,2020-09-24,2020-10-06,2020/09/30,11164.0,,6341.0,,3380.0,1743.0,826.0
2018-05-20_2018-05-26_S1B_S1A.tif,2018-05-20,2018-05-26,2018/05/23,6887.0,5798.0,4609.0,3246.0,2879.0,1710.0,892.0
2019-09-09_2019-09-15_S1B_S1A_T2.tif,2019-09-09,2019-09-15,2019/09/12,,,,,,,
2019-10-29_2019-11-10_S1A_S1A.tif,2019-10-29,2019-11-10,2019/11/04,,,,3680.0,3218.0,1697.0,761.0
2018-09-02_2018-09-08_S1B_S1A.tif,2018-09-02,2018-09-08,2018/09/05,9378.0,6687.0,,3547.0,2912.0,1392.0,970.0
2018-09-23_2018-10-05_S1A_S1A.tif,2018-09-23,2018-10-05,2018/09/29,8817.0,,5070.0,,2963.0,1615.0,808.0
2021-02-09_2021-02-15_S1B_S1A_T2.tif,2021-02-09,2021-02-15,2021/02/12,,,6313.0,4109.0,3463.0,1745.0,861.0
2022-05-14_2022-05-26_S1A_S1A.tif,2022-05-14,2022-05-26,2022/05/20,,,,,3420.0,1907.0,
2018-09-20_2018-10-02_S1A_S1A.tif,2018-09-20,2018-10-02,2018/09/26,8787.0,,,,2872.0,1582.0,759.0
2019-07-12_2019-07-24_S1B_S1B.tif,2019-07-12,2019-07-24,2019/07/18,,,,,,,
2019-03-25_2019-04-06_S1B_S1B_T2.tif,2019-03-25,2019-04-06,2019/03/31,,,,,,,
2021-09-11_2021-09-23_S1B_S1B.tif,2021-09-11,2021-09-23,2021/09/17,,,,,,,
2021-02-18_2021-02-24_S1B_S1A.tif,2021-02-18,2021-02-24,2021/02/21,9854.0,,,3923.0,3596.0,1632.0,777.0
2021-07-30_2021-08-11_S1A_S1A.tif,2021-07-30,2021-08-11,2021/08/05,,,,4605.0,3700.0,2035.0,943.0
2021-04-07_2021-04-19_S1B_S1B.tif,2021-04-07,2021-04-19,2021/04/13,,,,,,1803.0,
2018-12-22_2018-12-28_S1B_S1A.tif,2018-12-22,2018-12-28,2018/12/25,7322.0,,4711.0,3405.0,2635.0,1790.0,854.0
2018-09-02_2018-09-08_S1B_S1A_T2.tif,2018-09-02,2018-09-08,2018/09/05,,,,,,,
2019-12-02_2019-12-08_S1B_S1A_T2.tif,2019-12-02,2019-12-08,2019/12/05,,,,,,,
2018-01-23_2018-02-04_S1A_S1A.tif,2018-01-23,2018-02-04,2018/01/29,,,,3658.0,3029.0,1726.0,788.0
2018-03-02_2018-03-08_S1B_S1A.tif,2018-03-02,2018-03-08,2018/03/05,7754.0,,4718.0,3428.0,2990.0,1529.0,864.0
2020-12-30_2021-01-05_S1B_S1A.tif,2020-12-30,2021-01-05,2021/01/02,,,6101.0,4170.0,3489.0,1865.0,835.0
2020-11-29_2020-12-05_S1B_S1A.tif,2020-11-29,2020-12-05,2020/12/02,,,,,,,
2021-04-22_2021-04-28_S1B_S1A.tif,2021-04-22,2021-04-28,2021/04/25,,,,,,,
2020-03-01_2020-03-13_S1A_S1A_T2.tif,2020-03-01,2020-03-13,2020/03/07,,,,,,,
2020-06-11_2020-06-17_S1B_S1A.tif,2020-06-11,2020-06-17,2020/06/14,,,,,,1738.0,744.0
2020-09-18_2020-09-30_S1B_S1B_T2.tif,2020-09-18,2020-09-30,2020/09/24,11101.0,,6251.0,,3432.0,1777.0,770.0
2022-06-07_2022-06-19_S1A_S1A.tif,2022-06-07,2022-06-19,2022/06/13,,,,,,1754.0,
2021-06-18_2021-06-24_S1B_S1A.tif,2021-06-18,2021-06-24,2021/06/21,14594.0,,,4519.0,3429.0,1896.0,888.0
2018-06-18_2018-06-24_S1B_S1A.tif,2018-06-18,2018-06-24,2018/06/21,7454.0,6187.0,4782.0,,,1641.0,795.0
2021-08-08_2021-08-14_S1B_S1A_T2.tif,2021-08-08,2021-08-14,2021/08/11,13343.0,,6942.0,,3777.0,1937.0,979.0
2018-03-16_2018-03-28_S1B_S1B.tif,2018-03-16,2018-03-28,2018/03/22,,,,,,,
2021-05-28_2021-06-03_S1B_S1A_T2.tif,2021-05-28,2021-06-03,2021/05/31,12753.0,,,4265.0,,1820.0,
2020-02-08_2020-02-14_S1B_S1A_T2.tif,2020-02-08,2020-02-14,2020/02/11,,,4910.0,3413.0,3163.0,1903.0,870.0
2019-03-25_2019-03-31_S1B_S1A_T2.tif,2019-03-25,2019-03-31,2019/03/28,,,,,,,
2019-07-23_2019-08-04_S1B_S1B.tif,2019-07-23,2019-08-04,2019/07/29,,,4532.0,3464.0,2904.0,1660.0,888.0
2022-03-03_2022-03-15_S1A_S1A_T2.tif,2022-03-03,2022-03-15,2022/03/09,,,,,,,
2020-02-26_2020-03-09_S1A_S1A.tif,2020-02-26,2020-03-09,2020/03/03,,,,,,1489.0,784.0
2020-12-23_2020-12-29_S1B_S1A_T2.tif,2020-12-23,2020-12-29,2020/12/26,11537.0,,,4183.0,3504.0,1716.0,882.0
2022-04-11_2022-04-23_S1A_S1A.tif,2022-04-11,2022-04-23,2022/04/17,,,,,,1753.0,
2021-05-31_2021-06-12_S1A_S1A.tif,2021-05-31,2021-06-12,2021/06/06,,,,,3617.0,1870.0,730.0
2021-01-13_2021-01-19_S1B_S1A_T2.tif,2021-01-13,2021-01-19,2021/01/16,,,,,,,
2021-03-26_2021-04-07_S1B_S1B_T2.tif,2021-03-26,2021-04-07,2021/04/01,,,,,,,
2021-06-03_2021-06-15_S1A_S1A.tif,2021-06-03,2021-06-15,2021/06/09,,,,,,1914.0,
2018-08-27_2018-09-08_S1A_S1A.tif,2018-08-27,2018-09-08,2018/09/02,,,,,2848.0,1503.0,
2021-08-17_2021-08-29_S1B_S1B_T2.tif,2021-08-17,2021-08-29,2021/08/23,,,,,,,
2021-11-09_2021-11-15_S1B_S1A.tif,2021-11-09,2021-11-15,2021/11/12,11318.0,,,4515.0,3569.0,2003.0,
2019-04-24_2019-05-06_S1A_S1A_T2.tif,2019-04-24,2019-05-06,2019/04/30,,,,,,,
2021-04-22_2021-05-04_S1B_S1B.tif,2021-04-22,2021-05-04,2021/04/28,,,,,,,
2019-08-31_2019-09-12_S1B_S1B.tif,2019-08-31,2019-09-12,2019/09/06,,,,,,,
2021-08-05_2021-08-11_S1B_S1A.tif,2021-08-05,2021-08-11,2021/08/08,12959.0,9414.0,6663.0,4505.0,3728.0,1996.0,788.0
2019-02-08_2019-02-14_S1B_S1A.tif,2019-02-08,2019-02-14,2019/02/11,,,4546.0,3349.0,2515.0,1716.0,757.0
2019-03-04_2019-03-16_S1B_S1B.tif,2019-03-04,2019-03-16,2019/03/10,,,,,2820.0,1406.0,733.0
2021-03-17_2021-03-23_S1B_S1A.tif,2021-03-17,2021-03-23,2021/03/20,,,,,,,
2020-07-18_2020-07-30_S1B_S1B.tif,2020-07-18,2020-07-30,2020/07/24,,,,,,,
2020-10-21_2020-11-02_S1B_S1B.tif,2020-10-21,2020-11-02,2020/10/27,,,,4086.0,3350.0,1768.0,
2020-09-03_2020-09-15_S1B_S1B_T2.tif,2020-09-03,2020-09-15,2020/09/09,,,,,,,
2019-06-11_2019-06-23_S1A_S1A.tif,2019-06-11,2019-06-23,2019/06/17,,,,3557.0,2962.0,1604.0,897.0
2019-07-02_2019-07-14_S1B_S1B_T2.tif,2019-07-02,2019-07-14,2019/07/08,,,5362.0,3565.0,3099.0,1698.0,853.0
2021-07-12_2021-07-18_S1B_S1A_T2.tif,2021-07-12,2021-07-18,2021/07/15,,,,,,,
2021-01-23_2021-01-29_S1B_S1A_T3.tif,2021-01-23,2021-01-29,2021/01/26,,,,,,,
2020-08-22_2020-09-03_S1B_S1B_T2.tif,2020-08-22,2020-09-03,2020/08/28,,,,,,,
2021-09-07_2021-09-19_S1A_S1A.tif,2021-09-07,2021-09-19,2021/09/13,12294.0,,,,3783.0,1874.0,
2021-10-19_2021-10-25_S1B_S1A.tif,2021-10-19,2021-10-25,2021/10/22,,,,,,,
2020-07-25_2020-07-31_S1B_S1A.tif,2020-07-25,2020-07-31,2020/07/28,,,,,,,
2021-04-21_2021-05-03_S1A_S1A.tif,2021-04-21,2021-05-03,2021/04/27,,,,3892.0,,1833.0,862.0
2021-07-12_2021-07-24_S1B_S1B.tif,2021-07-12,2021-07-24,2021/07/18,,,,,,1971.0,
2019-09-15_2019-09-27_S1A_S1A.tif,2019-09-15,2019-09-27,2019/09/21,9801.0,,5303.0,,2947.0,1559.0,
2019-03-28_2019-04-03_S1B_S1A.tif,2019-03-28,2019-04-03,2019/03/31,,,4523.0,3207.0,2655.0,1591.0,843.0
2021-01-10_2021-01-16_S1B_S1A.tif,2021-01-10,2021-01-16,2021/01/13,,,,,,,
2019-05-12_2019-05-24_S1B_S1B.tif,2019-05-12,2019-05-24,2019/05/18,,,,,,1488.0,
2021-03-14_2021-03-26_S1B_S1B.tif,2021-03-14,2021-03-26,2021/03/20,,,,,3263.0,1783.0,
2019-04-16_2019-04-28_S1B_S1B_T2.tif,2019-04-16,2019-04-28,2019/04/22,,,,3159.0,2660.0,1591.0,802.0
2021-12-03_2021-12-09_S1B_S1A_T2.tif,2021-12-03,2021-12-09,2021/12/06,,,,,,,
2018-02-20_2018-02-26_S1B_S1A.tif,2018-02-20,2018-02-26,2018/02/23,,,,,,,
2018-03-30_2018-04-05_S1B_S1A.tif,2018-03-30,2018-04-05,2018/04/02,,,,3548.0,2828.0,1926.0,869.0
